caption,response
"WE ARE THE CHAMPIONS 🏆🏆
ขอแสดงความยินดี!!

โรงเรียนมัธยมสุไหงปาดี คว้ารางวัลชนะเลิศทั้ง 2 รุ่น
 “รายการ จตุรมิตรสานฝันนราธิวาส ครั้งที่ 3”

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN",No
"ใครจะครองแชมป์!!!
THE FINAL MATCH | ฟุตบอลรายการจตุรมิตร
สานฝันนราธิวาส (รอบชิงชนะเลิศ)
-—————————
(โรงเรียนมัธยมสุไหงปาดี) VS (โรงเรียนร่มเกล้า นราธิวาส)

🗓 วัน พฤหัสบดี ที่ 22 ก.พ. 2567
⏱ เวลา 09:00 น.
🏟 สนาม โรงเรียนสวนพระยาวิทยา
ร่วมกันส่งแรงเชียร์และกำลังใจให้นักฟุตบอลU18 ของเราด้วยน่ะครับ
——————————————

ขอขอบคุณผู้สนับสนุน…….

#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN","No. The message is discussing a football match between two schools, Sainamthom Suai Padi and Rongklao Nara Thiwat, for the Jaturamitr Cup. It does not mention Ramathibodi or any related entities."
"เอาหน่อยเว้ยยยย อีกก้าวเดียวแล้ว!!!
THE FINAL MATCH | ฟุตบอลรายการจตุรมิตร
สานฝันนราธิวาส (รอบชิงชนะเลิศ)
-—————————
(โรงเรียนมัธยมสุไหงปาดี) VS (โรงเรียนสวนพระยาวิทยา)

🗓 วัน พฤหัสบดี ที่ 22 ก.พ. 2567
⏱ เวลา 14:00 น.
🏟 สนาม โรงเรียนสวนพระยาวิทยา
ร่วมกันส่งแรงเชียร์และกำลังใจให้นักฟุตบอลU18 ของเราด้วยน่ะครับ
——————————————

ขอขอบคุณผู้สนับสนุน…….

#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN","No. This message is about a football match between two schools, Suan Phraya Wittaya and Suai Padi High School, for the Jaturamitr Cup. It does not mention Ramathibodi or any related organizations."
"#FULLTIME  เสือบูโด แซงดับ รร.ร่มเกล้า  2-1 “ จตุรมิตรสานฝันนราธิวาส ครั้งที่ 3 “ 🔥

ณ สนามกีฬาโรงเรียนสวนพระยาวิทยา

FT : รร.มัธยมสุไหงปาดี  2
  รร.ร่มเกล้านราธิวาส  1

✅ ผู้ทำประตู
⚽️ นินัสรี เจ๊ะอาลี
⚽️ อับดุลรอฮีมีน ลาเตะ

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN",No
"การแข่งขันฟุตบอลจตุรมิตรสานฝันนราธิวาส ครั้งที่ 3 รุ่นอายุไม่เกิน 18 ปี

รร.มัธยมสุไหงปาดี Vs รร.ร่มเกล้า นราธิวาส

📅 วัน เสาร์ ที่ 17 กุมภาพันธ์ 2567
⏰  14:00 น.
🏟️ สนาม รร.สวนพระยาวิทยา
Live สานฝันสวนพระยา FC 2018

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEENถ",No
"ศึกแห่งลูกหนังขาสั้น!!

รายการ “เมืองไทย มาดามคัพ 2023/24“

รร.มัธยมสุไหงปาดี Vs รร.หาดใหญ่วิทยาลัย ๒

⛰️ภาคใต้  ที่จังหวัดสงขลา

🗓️ วันที่ 26 ธันวาคม 2566
⏰ เริ่ม เวลา 11:00 น. 
🏟️ณ สนามกีฬาจิระนคร จังหวัดสงขลา
ติดตามไลฟ์ MATTAYOMSUNGAIPADI FC.

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN",No
"รอบ 8 ทีมสุดท้ายยังมีเรา🟡⚫️ 

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN",No
"โปรแกรมการแข่งขันฟุตบอลนักเรียน 7 คน

รายการ “เมืองไทย มาดามคัพ 2023/24“

⛰️ภาคใต้  ที่จังหวัดสงขลา

🗓️ วันที่ 26 ธันวาคม 2566
⏰ เริ่ม เวลา 11:00 น. 
🏟️ณ สนามกีฬาจิระนคร จังหวัดสงขลา
ติดตามไลฟ์ MATTAYOMSUNGAIPADI FC.

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN",No
"#FULLTIME 🛶  เสือบูโดพ่ายยะลา 0-2 “ศรีตรังเกมส์ ครั้งที่ 43“ 🔥

โปรแกรมการแข่งขันฟุตบอลกีฬานักเรียนนักศึกษาแห่งชาติ ครั้งที่ 43 คัดเลือกเขต9 “ศรีตรังเกมส์“
ณ สนามกีฬาเทศบาลนครตรัง ทุ่งแจ้ง  จังหวัด ตรัง

( GROUP B)
FT : นราธิวาส  0-2 ยะลา

ขอบคุณทุกกำลังใจ ปีหน้าเจอกันใหม่🙏🏻🫰🏻⚽️

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN",No
"“”“อยู่ต่อ หรือหลบบ้าน”“”
นัดชี้ชะตาเข้ารอบรอง ชนะอยู่ต่อ แพ้หลบบ้าน
การแข่งขันฟุตบอลกีฬานักเรียนนักศึกษาแห่งชาติ
""ศรีตรังเกมส์""ครั้งที่43
โรงเรียนมัธยมสุไหงปาดี (นราธิวาส) 
  Vs 
โรงเรียนกีฬาจังหวัดยะลา (ยะลา)
🗓 : วัน อาทิตย์ ที่ 26 พฤศจิกายน 2566
⏱: เวลา 15:45 น.
🏟 : สนามกีฬาเทศบาลนครตรัง (2) ทุ่งแจ้ง จ.ตรัง
Live:Mattayomsungaipdi FC
ขอขอบคุณผู้สนับสนุนทุกท่าน
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN","No. The message is about a football match between two schools during the ""ศรีตรังเกมส์"" national student-athlete competition. It does not mention Ramathibodi or any related organizations."
"การแข่งขันฟุตบอลกีฬานักเรียนนักศึกษาแห่งชาติ
""ศรีตรังเกมส์""ครั้งที่43

โรงเรียนมัธยมสุไหงปาดี (นราธิวาส) 
  Vs 
โรงเรียนกีฬาจังหวัดยะลา (ยะลา)
🗓 : วัน อาทิตย์ ที่ 26 พฤศจิกายน 2566
⏱: เวลา 15:45 น.
🏟 : สนามกีฬาเทศบาลนครตรัง (2) ทุ่งแจ้ง จ.ตรัง

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN","No. The message is about a football match between two schools during a national student-athlete competition called ""ศรีตรังเกมส"". It does not mention anything related to Ramathibodi Hospital or Mahidol University."
"#FULLTIME 🛶  เสือบูโดพ่ายปัตตานี 0-2 “ศรีตรังเกมส์ ครั้งที่ 43“ 🔥

โปรแกรมการแข่งขันฟุตบอลกีฬานักเรียนนักศึกษาแห่งชาติ ครั้งที่ 43 คัดเลือกเขต9 “ศรีตรังเกมส์“
ณ สนามกีฬาเทศบาลนครตรัง ทุ่งแจ้ง  จังหวัด ตรัง

( GROUP B)
FT : นราธิวาส  0-2 ปัตตานี

✅ ผู้ทำประตูให้กับปัตตานี

⚽️อิมรอน
⚽️ฟุรกอน

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN","No. This message is not talking about Ramathibodi. It appears to be discussing a football match between two schools, Nราธิวาส and ปัตตานี, during the ""ศรีตรังเกมส์"" national student sports competition. The message includes hashtags related to local businesses and individuals, but none associated with Ramathibodi."
"การแข่งขันฟุตบอลกีฬานักเรียนนักศึกษาแห่งชาติ
""ศรีตรังเกมส์""ครั้งที่43

โรงเรียนมัธยมสุไหงปาดี (นราธิวาส) 
  Vs 
โรงเรียนพีระยานาวิน คลองหินวิทยา (ปัตตานี)
🗓 : วัน เสาร์ ที่ 25 พฤศจิกายน 2566
⏱: เวลา 14:00 น.
🏟 : สนามกีฬาเทศบาลนครตรัง (2) ทุ่งแจ้ง จ.ตรัง

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN",No
"#FULLTIME 🐅  เสือบูโดดับพัทลุง 2-0 “ศรีตรังเกมส์ ครั้งที่ 43“ 🔥

โปรแกรมการแข่งขันฟุตบอลกีฬานักเรียนนักศึกษาแห่งชาติ ครั้งที่ 43 คัดเลือกเขต9 “ศรีตรังเกมส์“
ณ สนามกีฬาเทศบาลนครตรัง ทุ่งแจ้ง  จังหวัด ตรัง

( GROUP B)
FT : นราธิวาส  2-0 พัทลุง

✅ ผู้ทำประตู
มุสตากิม หะมะตี้เมาะ
มูฮัมหมัดฟิตรี สะตาปอ

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN",No
"การแข่งขันฟุตบอลกีฬานักเรียนนักศึกษาแห่งชาติ
""ศรีตรังเกมส์""ครั้งที่43

โรงเรียนมัธยมสุไหงปาดี (นราธิวาส) Vs โรงเรียนพัทลุง (พัทลุง)
🗓 : วัน ศุกร์ ที่ 24 พฤศจิกายน 2566
⏱: เวลา 14:00 น.
🏟 : สนามกีฬาเทศบาลนครตรัง (2) ทุ่งแจ้ง จ.ตรัง

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN","No. This message is about a football match between two schools during the National Student-Scholar Competition, ""ศรีตรังเกมส์"" (Sri Trang Games) at the 43rd edition. The participating schools are โรงเรียนมัธยมสุไหงปาดี (นราธิวาส) and โรงเรียนพัทลุง (พัทลุง). The event will take place on Friday, November 24, 2023, at 14:00 PM at the เทศบาลนครตรัง (2) ทุ่งแจ้ง จ.ตรัง stadium. The message includes thanks to various sponsors and uses several hashtags related to the schools and the event. There is no mention of Ramathibodi or any associated organizations."
"ชุดลุยศึกฟุตบอล กีฬานักเรียน นักศึกษาแห่งชาติ ครั้งที่ 43 ณ จังหวัดตรัง
รอบคัดเลือกเขต9 
ระหว่างวันที่22-30 พฤศจิกายน 2566
สนามกีฬาเทศบาลนครตรัง(2)ทุ่งแจ้ง 

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN",No
"ชุดลุยศึกฟุตบอล กีฬานักเรียน นักศึกษาแห่งชาติ ครั้งที่ 43 ณ จังหวัดตรัง
รอบคัดเลือกเขต9 
ระหว่างวันที่22-30 พฤศจิกายน 2566
สนามกีฬาเทศบาลนครตรัง(2)ทุ่งแจ้ง 

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN",No
"ชุดลุยศึกฟุตบอล กีฬานักเรียน นักศึกษาแห่งชาติ ครั้งที่ 43 ณ จังหวัดตรัง
รอบคัดเลือกเขต9 
ระหว่างวันที่22-30 พฤศจิกายน 2566
สนามกีฬาเทศบาลนครตรัง(2)ทุ่งแจ้ง 

ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN",No
"ตรังไปทางไหน!!!

ฟุตบอลรายการ การแข่งขัน กีฬานักเรียน นักศึกษาแห่งชาติครั้งที่ ๔๓ รอบคัดเลือกเขต ๙
ทีม M.SD. U18จะอยู่ในสายB ซึ่งมี 4 โรงเรียน ได้แก่
 1.โรงเรียนมัธยมสุไหงปาดี
 2.โรงเรียนพัทลุง จังหวัดพัทลุง
 3.โรงเรียนพีระยานาวินคลองหินวิทยา
 4.โรงเรียนกีฬาจังหวัดยะลา
_____________________________________
ขอขอบคุณผู้สนับสนุน…….
#โรงเรียนมัธยมสุไหงปาดี
#เทศบาลตําบลปะลุรู
#TASNEEM_SPORT 
#TATA_SHOP
#บังเฮง_เทสโต_2023
#ส_ท_หะยีแอ
#บ้านแว้ง_กาแฟสด
#AMEEN_SHOP
#KRU_WAENG
#ครัวอิควาน
#ริมรางรถไฟสุไหงปาดี
#ปะดอรอนิง_ท่ากอไผ่
#D_ANJUNG_DEEN",No
"We are The Champions 🎉🏆 2สมัยติดต่อกัน!!
 
ขอแสดงความยินดีกับ""โรงเรียนมัธยมสุไหงปาดี""

การแข่งขันฟุตบอลเยาวชน (THAILAND PRIME MINISTER CUP 2023) รุ่นอายุไม่เกิน 16 ปี

ขอขอบคุณผู้สนับสนุนท่าน🙏🏻🎉🟡⚫️
#โรงเรียนมัธยมสุไหงปาดี
#Tasneem_sport 
#บังเฮง_เทสโต
#ครูนีแว้ง
#ครัวอิควาน
#ปะดอรอนิง_ท่ากอไผ่
#บ้านแว้ง_กาแฟสด
#ริมรางรถไฟสุไหงปาดี",No
สร้างงานไม่สร้างรายได้ #ก_การยางขอนแก่น #ริมรางเอ็นดูโร่,No
พิชิตแล้ว ภูพานคำ ปล่องภูเขาไฟ #ริมรางเอ็นดูโร่,"No. The message does not mention Ramathibodi or any related entities. It appears to be discussing an outdoor event or activity called ""ริมรางเอ็นดูโร่"" at Bhuphan Kham volcano."
"มันดูดิ้นรนมันดูตะเกียกตะกาย มันดูเหนื่อยดี 
#ริมรางเอ็นดูโร่",No. The message does not mention Ramathibodi or any related entities.
น้ำหนักลง10 โล ยังจ่อยสู้ช่างต้าร์ไม่ได้ #ริมรางเอ็นดูโร่,No
ไอ้หนูเองอย่าจมนะ #ริมรางเอ็นดูโร่ #ภูเม็งเอ็นดูโร่v2,No
ทริป ทับเบิก ผาตัด ภูเขียว #ริมรางเอ็นดูโร่,No
วิ่งเร็วอาจจะปวดเข่า แต่ถ้าวิ่งแล้วอ้วนเท่าเก่า โคตรเจ็บใจ #เมืองน้ำดำเอ็นดูโร่v2 #ริมรางเอ็นดูโร่ #ก_การยางขอนแก่น,No. The message does not talk about Ramathibodi. It mentions running and health-related issues but does not reference any specific organization or service related to Ramathibodi Hospital.
"เกือบนอนบ่ได้บักอ้วนเอ้ย 
#ริมรางเอ็นดูโร่",No. The message does not talk about Ramathibodi.
หลบๆพี่ คันเร่งค้าง #เขาสวนกวางเอ็นดูโร่ #ริมรางเอ็นดูโร่ #ก_การยางขอนแก่น,No. The message does not talk about Ramathibodi. It appears to be discussing an off-road vehicle event related to the Khon Kaen Rubber Association.
"วันจันทร์ล้าง วันอังคารถอดเช็ค วันพุธเช็คอะไหล่ วันพฤหัสประกอบ วันศุกร์ที่ไหนเด็ด วันเสาร์มัดรถ วันอาทิตย์ไปขี่ แก๋ว
#ริมรางเอ็นดูโร่",No
"เตรียมตัวออกเดินทางได้ ภูเม็งเอ็นดูโร่ V.2
#ริมรางเอ็นดูโร่ 
#ก_การยางขอนแก่น 
#คนรู้ก็รู้คนไม่รู้แทบช็อค","No. The message is not talking about Ramathibodi. It appears to be related to an event called ""ภูเม็งเอ็นดูโร่ V.2"" and mentions hashtags related to off-road driving and rubber products. There are no references to Ramathibodi Hospital, Mahidol University, or any of its affiliated organizations."
"ไล่ไปๆ 
#ริมรางเอ็นดูโร่ 
#ภูเม็งเอ็นดูโร่v2",No
หัวสักจึ๊ก #เมืองน้ำดำเอ็นดูโร่v2 #ริมรางเอ็นดูโร่ #ก_การยางขอนแก่น,No
โชว์ลาวให้สาวกรี๊ดดด #อุบลรัตน์เอ็นดูโร่ #ริมรางเอ็นดูโร่,No
ถนนลอยฟ้า ทับเบิก #ริมรางเอ็นดูโร่,No
"สงสัยเมาค้าง คอพับเลย #เมืองน้ำดำเอ็นดูโร่v2 
#ริมรางเอ็นดูโร่ #ก_การยางขอนแก่น","No. The message appears to be discussing an event or activity related to off-road vehicles, specifically mentioning ""ริมราง"" which could refer to ""โรงเรียนแพทย์ริมราง"" (Rim Rang Medical School), but there is no clear indication that it is related to Ramathibodi Hospital or Mahidol University."
สุดปลายทางไม่ใช่อยู่ที่ยอดดอย #ผาตัด #ริมรางเอ็นดูโร่,No. The message does not mention any aspect of Ramathibodi Hospital or its related entities.
ชีวิตติดป่า #ริมรางเอ็นดูโร่,No
อยากไปดันเนิน ขอชันๆ ขึ้นไม่ได้ไม่เป็นไร ขอแค่ท่ามันเท่ #ก_การยางขอนแก่น #ริมรางเอ็นดูโร่,"No. The message does not talk about Ramathibodi. It mentions ""ริมรางเอ็นดูโร่"" which could be related to the Faculty of Medicine Ramathibodi Hospital, but the context suggests it's more about an event or activity rather than discussing the faculty itself. The hashtags ""#ก_การยางขอนแก่น"" and ""#ริมรางเอ็นดูโร่"" further support this interpretation."
ใครบอกว่าทางดีมีเซเว้นวะ #ก_การยางขอนแก่น #ริมรางเอ็นดูโร่,No
ไม่เคยปากดีอย่างลำบาก #โคกขุมปูนเอ็นดูโร่ #ริมรางเอ็นดูโร่ #ก_การยางขอนแก่น,No
"รายการแข่งปี67 
21 ม.ค.งานน้ำดำกาฬสินธุ์
10 มี.ค.โกสุม สารคาม
31 มี.ค. เปือยน้อย ขอนแก่น
7 เม.ย. อุบลรัตน์ ขอนแก่น
5 พ.ค. ท่าคันโท กาฬสินธุ์
2 มิ.ย. เขาสวนกวาง ขอนแก่น
#ไปให้สุดหยุดที่พัง
#ริมรางเอ็นดูโร่",No. The message is not talking about Ramathibodi. It appears to be discussing an enduro race event series.
ไปช้าๆ ถึงชัวร์ #เขาสวนกวางเอ็นดูโร่ #ริมรางเอ็นดูโร่ #ก_การยางขอนแก่น,No
ชื่นใจ หน้าฝนสวยเสมอ #ริมรางเอ็นดูโร่,No
"ก็มันหมดPassionอ่ะเนาะ ต้องไปหาInspirationหน่อย 
#ริมรางเอ็นดูโร่ 
#เขาสวนกวางเอ็นดูโร่
#กระนวนเอ็นดูโร่
#แถมรถสูตร",No
วันข้างหน้าจะเป็นยังไง เราไม่ต้องคิด พรุ่งนี้วันอาทิตย์เราต้องออกหมาย #ริมรางเอ็นดูโร่ #เขาสวนกวางเอ็นดูโร่,"No. The message does not talk about Ramathibodi. It mentions ""ริมรางเอ็นดูโร่"" and ""เขาสวนกวางเอ็นดูโร่,"" which are likely related to events or activities unrelated to the Faculty of Medicine Ramathibodi Hospital, Mahidol University."
รอเครื่องคนเย็นแล้วไปต่อ #ริมรางเอ็นดูโร่ #ก_การยางขอนแก่น,"No. The message does not talk about Ramathibodi. It mentions ""ริมรางเอ็นดูโร่"" which could be related to the Faculty of Medicine Ramathibodi Hospital, but the rest of the message seems unrelated to the faculty."
"โอเค บรรลุวัตถุประสงค์ปีนี้ ปีหน้าเอาใหม่ ขอบคุณในทุกๆโอกาส ขอบคุณพ่อแม่ ขอบคุณทีมงาน ขอบคุณทุกคนที่เป็นกำลังใจ ขอบคุณตัวเองที่ไม่ปอดแหกแล้วเลิกทำการแข่งขัน ❤❤
#น้ำมันหมดระหว่างการแข่งขันยังได้ถ้วยอยู่
#ริมรางเอ็นดูโร่
#เขาสวนกวางเอ็นดูโร่V2",No
รอเครื่องคนเย็นแล้วไปต่อ #ริมรางเอ็นดูโร่ #ก_การยางขอนแก่น,"No. The message does not mention Ramathibodi or any related entities. It appears to be discussing an event or activity unrelated to the Faculty of Medicine Ramathibodi Hospital, Mahidol University."
อยากไปดันเนิน ขอชันๆ ขึ้นไม่ได้ไม่เป็นไร ขอแค่ท่ามันเท่ #ก_การยางขอนแก่น #ริมรางเอ็นดูโร่,"No. The message does not mention Ramathibodi or any related entities. It appears to be discussing a personal experience or event unrelated to the Faculty of Medicine Ramathibodi Hospital, Mahidol University."
ใครบอกว่าทางดีมีเซเว้นวะ #ก_การยางขอนแก่น #ริมรางเอ็นดูโร่,No
"ไล่ไปๆ 
#ริมรางเอ็นดูโร่ 
#ภูเม็งเอ็นดูโร่v2",No.
ไอ้หนูเองอย่าจมนะ #ริมรางเอ็นดูโร่ #ภูเม็งเอ็นดูโร่v2,No. The message does not mention Ramathibodi or any related entities.
"เตรียมตัวออกเดินทางได้ ภูเม็งเอ็นดูโร่ V.2
#ริมรางเอ็นดูโร่ 
#ก_การยางขอนแก่น 
#คนรู้ก็รู้คนไม่รู้แทบช็อค",No. The message does not mention Ramathibodi or any related entities.
น้ำหนักลง10 โล ยังจ่อยสู้ช่างต้าร์ไม่ได้ #ริมรางเอ็นดูโร่,No
ถนนลอยฟ้า ทับเบิก #ริมรางเอ็นดูโร่,No
ทริป ทับเบิก ผาตัด ภูเขียว #ริมรางเอ็นดูโร่,"No. The message is discussing a trip to Tubbataha Reef Natural Park, Palawan, Philippines, and has nothing to do with Ramathibodi."
"โอเค บรรลุวัตถุประสงค์ปีนี้ ปีหน้าเอาใหม่ ขอบคุณในทุกๆโอกาส ขอบคุณพ่อแม่ ขอบคุณทีมงาน ขอบคุณทุกคนที่เป็นกำลังใจ ขอบคุณตัวเองที่ไม่ปอดแหกแล้วเลิกทำการแข่งขัน ❤❤
#น้ำมันหมดระหว่างการแข่งขันยังได้ถ้วยอยู่
#ริมรางเอ็นดูโร่
#เขาสวนกวางเอ็นดูโร่V2",No. The message does not mention Ramathibodi or any related entities. It appears to be a personal reflection on achieving goals and competing in an endurance race.
"ก็มันหมดPassionอ่ะเนาะ ต้องไปหาInspirationหน่อย 
#ริมรางเอ็นดูโร่ 
#เขาสวนกวางเอ็นดูโร่
#กระนวนเอ็นดูโร่
#แถมรถสูตร",No
"เกือบนอนบ่ได้บักอ้วนเอ้ย 
#ริมรางเอ็นดูโร่",No. The message does not talk about Ramathibodi.
วันข้างหน้าจะเป็นยังไง เราไม่ต้องคิด พรุ่งนี้วันอาทิตย์เราต้องออกหมาย #ริมรางเอ็นดูโร่ #เขาสวนกวางเอ็นดูโร่,No
ไม่เคยปากดีอย่างลำบาก #โคกขุมปูนเอ็นดูโร่ #ริมรางเอ็นดูโร่ #ก_การยางขอนแก่น,"No. The message does not mention anything related to Ramathibodi Hospital, Mahidol University."
